,date,time,text,sentiment,target,text_tokenized,joined_tokens
0,2/23/2022,9:37:40 PM, nah idc about raids,Negative,Game,"['nah', 'idc', 'raids']",nah idc raids
1,2/23/2022,11:02:46 AM, buy a token better gp/h at ur retail job than whatever trash u do on here,Negative,Game,"['buy', 'token', 'better', 'gp', 'h', 'retail', 'job', 'whatever', 'trash']",buy token better gp h retail job whatever trash
2,2/22/2022,6:54:12 PM, so what now in zerith mortis ?,Negative,Game,"['zerith', 'mortis']",zerith mortis
3,2/22/2022,9:37:46 PM, same servers #@$%@#%^,Negative,Game,['servers'],servers
4,2/22/2022,6:25:49 PM, bold of you to assume that it  isn't blizzard 1st day bugs as per the usual,Negative,Game,"['bold', 'assume', 'blizzard', 'day', 'bugs', 'per', 'usual']",bold assume blizzard day bugs per usual
5,2/22/2022,6:11:22 PM," get used to the gear, it gonna be 13 months before the new xpac",Negative,Game,"['get', 'used', 'gear', 'gonna', 'months', 'new', 'xpac']",get used gear gonna months new xpac
6,2/23/2022,7:43:34 PM, aren't all hunter sets?,Negative,Game,"['hunter', 'sets']",hunter sets
7,2/22/2022,8:14:50 AM, probaly thw whole day,Negative,Game,"['probaly', 'thw', 'whole', 'day']",probaly thw whole day
8,2/23/2022,5:26:00 PM, shit is cake ,Negative,Game,"['shit', 'cake']",shit cake
9,2/23/2022,1:08:05 AM, which is just untrue from what i can tell,Negative,Game,"['untrue', 'tell']",untrue tell
10,2/22/2022,8:42:20 PM, lol,Negative,Game,['lol'],lol
11,2/22/2022,9:53:41 PM," i couldn't gate in to oribos, so i tried to fly in... now i'm stuck on the mount floating 1 foot off of the ground",Negative,Game,"['gate', 'oribos', 'tried', 'fly', 'stuck', 'mount', 'floating', 'foot', 'ground']",gate oribos tried fly stuck mount floating foot ground
12,2/22/2022,7:31:09 PM, kinda shocked not one new battle ground either,Negative,Game,"['kinda', 'shocked', 'one', 'new', 'battle', 'ground', 'either']",kinda shocked one new battle ground either
13,2/23/2022,2:02:46 PM, 2 tokens lol,Negative,Game,"['tokens', 'lol']",tokens lol
14,2/22/2022,11:26:11 PM, really glitchy and laggy tonight,Negative,Game,"['really', 'glitchy', 'laggy', 'tonight']",really glitchy laggy tonight
15,2/22/2022,8:04:36 PM, lf mage port to org from oribos. my game is bugged and the portal isnt here. plz,Negative,Game,"['lf', 'mage', 'port', 'org', 'oribos', 'game', 'bugged', 'portal', 'isnt', 'plz']",lf mage port org oribos game bugged portal isnt plz
16,2/22/2022,8:16:44 AM, i feel ban was unjust,Negative,Game,"['feel', 'ban', 'unjust']",feel ban unjust
17,2/22/2022,10:43:37 PM, anyone else eating shit and dcing,Negative,Game,"['anyone', 'else', 'eating', 'shit', 'dcing']",anyone else eating shit dcing
18,2/22/2022,9:09:28 PM, who broke org,Negative,Game,"['broke', 'org']",broke org
19,2/22/2022,11:38:14 PM, did the server crash? cannot zone into org.,Negative,Game,"['server', 'crash', 'cannot', 'zone', 'org']",server crash cannot zone org
20,2/22/2022,6:54:45 PM, and completed weekly so now what ?,Negative,Game,"['completed', 'weekly']",completed weekly
21,2/23/2022,1:10:49 AM, org is broken right now,Negative,Game,"['org', 'broken', 'right']",org broken right
22,2/22/2022,8:09:51 PM," nah, just sucks for alts ig",Negative,Game,"['nah', 'sucks', 'alts', 'ig']",nah sucks alts ig
23,2/22/2022,8:58:25 PM, operation get the fuck out of oribos,Negative,Game,"['operation', 'get', 'fuck', 'oribos']",operation get fuck oribos
24,2/22/2022,8:52:32 PM, what chores do ineeda do for this patch?,Negative,Game,"['chores', 'ineeda', 'patch']",chores ineeda patch
25,2/23/2022,7:29:05 PM, so many scammers in trade,Negative,Game,"['many', 'scammers', 'trade']",many scammers trade
26,2/23/2022,1:09:05 AM, org is broken rn dont tp there,Negative,Game,"['org', 'broken', 'rn', 'tp']",org broken rn tp
27,2/22/2022,6:35:52 PM, it beats you,Negative,Game,['beats'],beats
28,2/22/2022,8:59:13 PM, gotta love patch day,Negative,Game,"['gotta', 'love', 'patch', 'day']",gotta love patch day
29,2/22/2022,10:35:48 PM, lol yeah that won't be abused. so same as usual then,Negative,Game,"['lol', 'yeah', 'abused', 'usual']",lol yeah abused usual
30,2/23/2022,2:21:06 PM, feral druid are so bad now,Negative,Game,"['feral', 'druid', 'bad']",feral druid bad
31,2/22/2022,10:00:45 PM, is oribos broken??,Negative,Game,"['oribos', 'broken']",oribos broken
32,2/23/2022,2:35:42 PM, and funding the gold selling websites,Negative,Game,"['funding', 'gold', 'selling', 'websites']",funding gold selling websites
33,2/22/2022,9:21:27 PM, log out,Negative,Game,['log'],log
34,2/22/2022,10:32:32 PM, maybe im just getting bored of blizz cookie cutter new area,Negative,Game,"['maybe', 'getting', 'bored', 'blizz', 'cookie', 'cutter', 'new', 'area']",maybe getting bored blizz cookie cutter new area
35,2/23/2022,7:43:54 PM, aren't most of the new sets?,Negative,Game,"['new', 'sets']",new sets
36,2/23/2022,12:25:42 AM, why is there no good mogs of a zandalari troll druid are they all just ugly or cant dress?,Negative,Game,"['good', 'mogs', 'zandalari', 'troll', 'druid', 'ugly', 'cant', 'dress']",good mogs zandalari troll druid ugly cant dress
37,2/22/2022,8:59:32 PM, does this fix or do i need to relog,Negative,Game,"['fix', 'need', 'relog']",fix need relog
38,2/22/2022,6:03:20 PM, k,Negative,Game,['k'],k
39,2/22/2022,11:37:15 PM, been sitting here forever just dc me,Negative,Game,"['sitting', 'forever', 'dc']",sitting forever dc
40,2/22/2022,6:24:55 PM, lol,Negative,Game,['lol'],lol
41,2/23/2022,1:07:42 AM, honest to god i have no idea why i resubbed when elden ring is about to drop,Negative,Game,"['honest', 'god', 'idea', 'resubbed', 'elden', 'ring', 'drop']",honest god idea resubbed elden ring drop
42,2/23/2022,7:43:32 PM, fact,Negative,Game,['fact'],fact
43,2/23/2022,1:07:06 AM, some asshole conned me into playin again for this patch,Negative,Game,"['asshole', 'conned', 'playin', 'patch']",asshole conned playin patch
44,2/23/2022,7:47:07 PM, yeah we know its ugly,Negative,Game,"['yeah', 'know', 'ugly']",yeah know ugly
45,2/22/2022,8:40:01 PM," can't teleport to oribos, is it broken?",Negative,Game,"['teleport', 'oribos', 'broken']",teleport oribos broken
46,2/22/2022,8:43:15 AM, im guessing theyll extend it 1 or 2 times and itll be almost midnight lol ,Negative,Game,"['guessing', 'theyll', 'extend', 'times', 'itll', 'almost', 'midnight', 'lol']",guessing theyll extend times itll almost midnight lol
47,2/22/2022,8:14:42 AM, 8 hours?,Negative,Game,['hours'],hours
48,2/22/2022,6:55:28 PM, play uninstall wizard,Negative,Game,"['play', 'uninstall', 'wizard']",play uninstall wizard
49,2/22/2022,9:37:59 PM, if every time it takes me out of the server,Negative,Game,"['every', 'time', 'takes', 'server']",every time takes server
50,2/23/2022,10:30:03 AM, not allways,Negative,Game,['allways'],allways
51,2/23/2022,6:38:32 PM, feels like dead server now,Negative,Game,"['feels', 'like', 'dead', 'server']",feels like dead server
52,2/23/2022,10:34:10 AM, wow there is not 1 new pet on ah. guess the patch never released none yet?????,Negative,Game,"['wow', 'new', 'pet', 'ah', 'guess', 'patch', 'never', 'released', 'none', 'yet']",wow new pet ah guess patch never released none yet
53,2/23/2022,12:42:23 AM, level 2 no guild nice try scammer ,Negative,Game,"['level', 'guild', 'nice', 'try', 'scammer']",level guild nice try scammer
54,2/22/2022,8:08:18 PM, are people having trouble finishing a hast voyage?? i keep just falling and then takes me back to the start,Negative,Game,"['people', 'trouble', 'finishing', 'hast', 'voyage', 'keep', 'falling', 'takes', 'back', 'start']",people trouble finishing hast voyage keep falling takes back start
55,2/22/2022,7:31:19 PM, for real where is the solo shuffle,Negative,Game,"['real', 'solo', 'shuffle']",real solo shuffle
56,2/22/2022,6:18:33 PM, what a deal,Negative,Game,['deal'],deal
57,2/22/2022,9:22:09 PM, this just happened in ardenweald and it took about 7 minutes to d/c and come back up,Negative,Game,"['happened', 'ardenweald', 'took', 'minutes', 'c', 'come', 'back']",happened ardenweald took minutes c come back
58,2/22/2022,9:19:35 PM, problably a dc,Negative,Game,"['problably', 'dc']",problably dc
59,2/23/2022,10:36:22 AM, fuck u think they would learn.,Negative,Game,"['fuck', 'think', 'would', 'learn']",fuck think would learn
60,2/22/2022,6:09:27 PM, and its going to be forever,Negative,Game,"['going', 'forever']",going forever
61,2/22/2022,6:29:39 PM, i just paid $15 again. not sure if i am going to regret coming back,Negative,Game,"['paid', 'sure', 'going', 'regret', 'coming', 'back']",paid sure going regret coming back
